"","Gene","No..isolates"
"442","group_979",832
"443","group_977",832
"444","group_975",832
"445","group_2701",832
"446","group_971",832
"447","group_969",832
"448","group_967",832
"449","group_2699",836
"450","group_966",835
"451","group_1762",835
"452","group_964",835
"453","group_960",891
"454","group_957",891
"455","group_962",196
"456","group_954",2
"457","group_949",2
"458","group_948",376
"459","group_946",3
"460","group_944",2
"461","group_2695",384
"462","group_940",2
"463","group_2696",400
"464","group_938",400
"465","group_936",400
"466","group_934",400
"467","group_932",400
"468","group_931",400
"469","group_930",399
"470","cdh_2~~~cdh",479
"471","group_2692",3
"472","group_927",578
"473","group_926",578
"474","group_2691",578
"475","lipM_2~~~lipM_1~~~lipM",578
"476","group_2689",578
"477","group_449",3
"478","group_2687",574
"479","group_922",576
"480","group_920",576
"481","cyp121_1~~~cyp121",8
"482","group_916",2
"483","group_914",577
"484","group_915",581
"485","group_911",581
"486","lppN",581
"487","group_2683",584
"488","group_903",611
"489","group_902",612
"490","group_901",691
"491","mscr",695
"492","group_898",689
"493","group_896",689
"494","group_894",689
"495","group_889",2
"496","group_1772",2
"497","group_888",1341
"498","group_885",1341
"499","group_883",1341
"500","group_881",1341
"501","PE_PGRS52~~~PE_PGRS52_1~~~PE_PGRS38~~~PE_PGRS38_2~~~PE_PGRS38_1",1235
"502","group_3499",13
"503","group_3544",13
"504","group_3490",13
"505","group_3489",13
"506","group_3488",13
"507","group_3487",13
"508","group_3486",13
"509","group_3493",13
"510","group_3492",13
"511","group_3491",13
"512","group_3485",13
"513","group_3484",11
"514","group_3483",11
"515","group_3482",11
"516","group_3481",10
"517","group_3480",8
"518","group_3543",8
"519","group_3549",6
"520","group_3546",6
"521","group_3528",2
"522","group_3478",10
"523","group_3477",10
"524","group_3475",8
"525","group_3474",8
"526","group_3476",8
"527","group_3542",8
"528","group_3473",6
"529","group_1593",6
"530","group_1592",6
"531","group_1591",6
"532","group_1589",6
"533","group_1587",2
"534","group_1585",3
"535","group_3541",6
"536","bpa_2~~~bpa_1~~~bpa_3~~~bpa",84
"537","group_1301",84
"538","group_1300",84
"539","group_1209",84
"540","espl",2
"541","espK_1~~~espK_2~~~espk",86
"542","group_3205",2
"543","group_3130",1
"544","group_3131",1
"545","group_3517",29
"546","group_3436",2
"547","group_3435",2
"548","group_3434",2
"549","group_3433",2
"550","group_3432",2
"551","group_3431",2
"552","group_3430",2
"553","group_3429",2
"554","group_3428",2
"555","group_3427",2
"556","group_3426",2
"557","group_3425",2
"558","group_3424",2
"559","group_3439",2
"560","group_3438",2
"561","group_3437",2
"562","group_3423",2
"563","group_3135",1
"564","group_3136",1
"565","group_3137",1
"566","group_3138",1
"567","narX",1
"568","group_3139",1
"569","group_3140",1
"570","group_3142",1
"571","group_3143",1
"572","group_3144",1
"573","group_3145",1
"574","group_3146",1
"575","group_3147",1
"576","group_3148",1
"577","group_3149",1
"578","group_3150",1
"579","group_3151",1
"580","group_3152",1
"581","PPE24",397
"582","group_1693",2
"583","plcB",2
"584","pimC",1
"585","group_3451",2
"586","group_3452",2
"587","group_3461",2
"588","gabD2",2
"589","group_3462",2
"590","group_3463",2
"591","group_3464",2
"592","group_3453",2
"593","group_3454",2
"594","group_3455",2
"595","group_3456",2
"596","group_3457",2
"597","group_3458",2
"598","group_3459",2
"599","group_3460",2
"600","group_3465",2
"601","group_3154",1
"602","group_3155",1
"603","group_3156",1
"604","group_3157",1
"605","group_3158",1
"606","group_3159",1
"607","group_3160",1
"608","group_3161",1
"609","group_3162",1
"610","group_3163",1
"611","group_3164",1
"612","group_3165",1
"613","group_3166",1
"614","group_3167",1
"615","group_3168",1
"616","group_3169",1
"617","PPE23",1
"618","group_3170",1
"619","group_3171",1
"620","group_3172",1
"621","group_3173",1
"622","group_3174",1
"623","group_3175",1
"624","group_3176",1
"625","group_3177",1
"626","group_3178",1
"627","group_3179",1
"628","group_3180",1
"629","group_3181",1
"630","group_3182",1
"631","group_3183",1
"632","group_3184",1
"633","group_3185",1
"634","group_3186",1
"635","group_3187",1
"636","group_3188",1
"637","group_3189",1
"638","group_3190",1
"639","group_3191",1
"640","group_3192",1
"641","group_3193",1
"642","group_3194",1
"643","group_3195",1
"644","group_3196",1
"645","group_3197",1
"646","group_3200",1
"647","group_3201",1
"648","group_3466",4
"649","group_3467",4
"650","group_3468",4
"651","group_3469",4
"652","group_3470",4
"653","group_3471",4
"654","group_3472",4
"655","group_3421",1
"656","group_3422",3
"657","pks11_1",3
"658","pks9",1
"659","pks17",3
"660","group_1462",8
"661","group_1465",80
"662","group_2844",79
"663","group_1470",79
"664","group_1472",79
"665","group_1482",79
"666","group_1483",79
"667","group_1485",79
"668","group_1487",79
"669","group_1494",79
"670","group_1604",79
"671","group_1608",79
"672","PE_PGRS4_1",1200
"673","PE_PGRS33~~~PE_PGRS33_1~~~PE_PGRS24~~~PE_PGRS33_2",1113
"674","vapc31~~~vapc25",3
"675","group_3206",1
"676","group_3251",3
"677","group_3249",3
"678","group_3247",3
"679","group_3245",3
"680","group_3243",3
"681","group_3242",3
"682","group_3240",3
"683","canb",3
"684","mutY",3
"685","group_1283",53
"686","group_1284",1151
"687","PE_PGRS54~~~PE_PGRS25~~~lipY_4~~~PE_PGRS52~~~PE_PGRS57~~~PE_PGRS48~~~PE_PGRS57_2",1060
"688","PE_PGRS57",767
"689","group_1302",1380
"690","group_2807",1380
"691","group_1305",1380
"692","group_2808",1379
"693","echA21",1379
"694","group_2809",1379
"695","group_2810",1379
"696","group_1313",1379
"697","group_1315",1379
"698","group_1317",1379
"699","group_1319",1379
"700","group_2811",1380
"701","group_1325",1380
"702","group_1327",1380
"703","group_1329",1380
"704","tcrX_2~~~tcrx",1380
"705","group_2812",1380
"706","lpqH",1380
"707","group_2813",1380
"708","group_494",1380
"709","group_2814",1380
"710","group_235",1380
"711","group_923",1380
"712","group_2815",1380
"713","group_495",1380
"714","group_824",1374
"715","tyrA",1342
"716","dnaQ",2
"717","group_1411",19
"718","group_1410",19
"719","group_1409",19
"720","group_1407",19
"721","group_1406",19
"722","group_1404",19
"723","group_1402",19
"724","group_1400",19
"725","group_1398",19
"726","group_1397",19
"727","group_1394",19
"728","group_1392",21
"729","group_1391",21
"730","group_1388",21
"731","group_1386",21
"732","group_1384",21
"733","group_1383",21
"734","ribZ",21
"735","group_1382",18
"736","group_1381",18
"737","group_1380",18
"738","group_1379",18
"739","group_1377",18
"740","tgs2",18
"741","group_1375",18
"742","group_1373",18
"743","group_1372",18
"744","PPE66",18
"745","group_1368",18
"746","group_1366",18
"747","group_1365",18
"748","group_1364",18
"749","nmtr",18
"750","group_1363",18
"751","PE34",18
"752","group_1359",18
"753","group_1356",18
"754","group_991",18
"755","group_399",18
"756","group_1770",1
"757","group_973",1
"758","group_370",55
"759","group_952",59
"760","group_942",59
"761","group_1350",83
"762","group_1349",83
"763","group_925",83
"764","group_924",83
"765","group_251",83
"766","group_224",83
"767","group_211",83
"768","group_1335",83
"769","group_1334",83
"770","tcry",83
"771","tcrx",83
"772","group_1332",83
"773","group_1331",83
"774","group_1330",83
"775","group_1328",83
"776","group_1326",84
"777","group_1323",84
"778","group_1320",84
"779","group_1318",84
"780","group_1316",84
"781","group_1314",84
"782","group_1312",84
"783","lipE",84
"784","group_1311",83
"785","group_1304",83
"786","group_1303",83
"787","rfbB_3~~~rfbB~~~rfbB_2~~~rfbB_1",84
"788","group_3297",6
"789","group_3298",7
"790","group_3299",7
"791","group_3300",4
"792","group_3301",5
"793","group_3302",1
"794","group_929",2
"795","group_3516",2
"796","group_2839",12
"797","group_1464",68
"798","group_2841",80
"799","group_2842",80
"800","group_1466",80
"801","group_1467",79
"802","group_2846",79
"803","group_1475",79
"804","group_1479",79
"805","group_1489",79
"806","group_1495",79
"807","hpt_2~~~hpt",79
"808","group_1600",79
"809","espa_2~~~espa",79
"810","group_3525",3
"811","eccE2",53
